orig,kr


黒獅子の牙斧,흑사자의 이빨 도끼
獅子の頭を象った意匠性の高い斧。頂に立つ資質を示さんと果敢に斧を振るう勇猛さは、仲間の士気を奮い立たせ活路を拓く。
レオ・ランページ,레오 램페이지


アトロシウスブラッド,아트로시우스 블러드
最凶・最悪・最高の三位一体による過激なパフォーマンスでＧＩＧという名の厄災を振りまいたレジェンド級虐殺バンド『残虐三兄弟』。そのＧｔ＆Voを務めるベンジャミン氏が産声を上げながら弾き鳴らしたという伝説的ギター（諸説あり）のコピーモデルを、ファンからの熱い要望により遂に商品化！　ルックス、サウンド、プレイヤビリティ、全てが完璧な当モデルのボディカラーは、今回のために調合された特殊塗料によってオリジナルの色味を完全再現！　唯一無二の輝きで魂の叫びを奏でよう！ ※当商品は完全受注生産のため、発送までお時間をいただく場合がございます。
ジャーニー・スルー・ザ・ローズ,저니 스루 더 로즈
土属性ダメージ(特大)/味方全体のテンションUP,토속성 데미지(특대) / 아군 전체의 텐션 UP


!지팡이
ケーリュケイオン,케리케이온
美しき遊翼杖。出処の知れぬその杖は、数多の魔道士が手にとったものの誰一人として使いこなせなかったという。
トリスメギストス,트리스메기스투스
風属性ダメージ(特大)/ダメージ*回無効化,풍속성 데미지(특대) / 데미지 *회 무효화
七宝石の結界,일곱 보석의 결계
通常攻撃をした時、主人公のみ確率でカウンター効果(回避/*回),일반공격시 주인공만 확률로 카운터 효과(*회)


アスクレピオスの杖,아스클레피오스의 지팡이
かつて医術、魔術を極めた名医が用いた杖。唯一の禁忌を除き、あらゆる奇跡を服従させた。
ホーリーノヴァ,홀리 노바
癒しの力,치유의 힘
回復タイプの回復効果上昇(小),회복 타입의 회복 효과 상승(소)


稜鏡の鎚杖,능경의 철퇴

シタ,시타


氷晶杖,빙정의 지팡이
リリィの故郷クリスタリアにある氷晶宮に眠っていた宝杖。年端のいかぬ少女は冬を手に、春を探す旅へ出た。
フローズンヴィジョン,프로즌 비전
水属性ダメージ(特大)/火属性ダメージカット(**%),수속성 데미지(특대) / 화속성 데미지 컷(**%)
氷晶宮の加護,빙정궁의 가호
水属性キャラの火属性ダメージ軽減,수속성 캐릭터의 화속성 데미지 감소


封鍵クラウストルム,봉인의 열쇠 클라우스트룸
サルナーンが禁呪を用いて美しき精霊を封印した杖。精霊の憑代となった杖からは膨大な光の魔力が溢れる。
クローストゥユー,클로우스 투 유
光属性ダメージ(特大)/アビリティダメージUP,광속성 데미지(특대) / 어빌리티 데미지 UP
精霊の庇護,정령의 비호
光属性キャラの闇属性ダメージ軽減,광속성 캐릭터의 암속성 데미지 감소


ウロボロス,우로보로스
カリオストロと共に封印されていた、魔蛇の魂が宿る杖。天才美少女錬金術師が作り出した最高傑作のうちの一つ。,칼리오스트로와 함께 봉인되어 있던 마의 뱀의 혼이 깃든 지팡이。천재 미소녀 연금술사가 만들어낸 최고 걸작 중 하나
アルス・マグナ,알스 마그나
創られし従僕,만들어진 종복


イリュージョンセプター,일루전 셉터
マギサの愛用する杖。マギサの扱う魔法に合わせてその性質を変化させ、あらゆる魔法の触媒となる。
魔女の真髄,마녀의 진수


サンフラワーワンド,선플라워 완드
シェロがよろず屋の奥から見つけ出してきたもの。鉱石でできた花弁は陽光を照り返し、力強い太陽を思わせる。
エレメンタルカスケード,엘레멘탈 캐스케이드
火属性ダメージ(特大)/回復効果UP/回復上限UP,화속성 데미지(특대) / 회복 효과 UP / 회복 상한 UP


レヴィアンセプター・マグナ,레비안 셉터・마그나
一振りにて解き放たれた海の力は、奔流となって大地を飲み込み、全ては水底へと消えていく。


コロッサスケーン・マグナ,콜로서스 케인・마그나
鋼の巨躯を模した杖には、業火のごとき灼熱が宿る。陽炎の揺らめきより放たれる破壊の力は万象を歪ませる。


アンノウンワンド,언노운 완드
異質な存在を掲げたその杖には、超常をも超えた力が集う。境界を越えた力が起こす奇跡を占うことは誰にも出来ない。
風属性ダメージ(特大)/奥義ゲージ上昇量ランダムUP,풍속성 데미지(특대) / 오의 게이지 상승량 랜덤 UP


プロミス,프로미스
約束は時に大きな力の源となるが、違えば人を運命の歯車に巻き込み、破滅へと導く。
アンフォーギヴィング,언포기빙
風属性ダメージ(特大)/弱体耐性UP,풍속성 데미지(특대) / 약화 내성 UP


五神杖,오신장
燦然と列するは世界を構成する五つの輝き。全てを識り、万象の理を掌握せし者の前に、世界は恭順以外の選択を持たない。,"찬연히 늘어선 것은 세계를 구성하는 다섯 개의 빛。모든 것을 알고있는 만상의 이치를  장악하는 자 앞에서, 세계는 순순히 따를 수 밖에 없다"
聖柱五星封陣,성주오성봉진


バビロンの導杖,바빌론의 길잡이
古き伝説を象徴せしその杖は森羅万象に術者の言葉を伝える。しかし、時として驕りは神罰を呼び、築き上げた全てを無に帰す。
ネビル・アーヌ,네빌・아누
土属性ダメージ(特大)/攻撃UP,토속성 데미지(특대) / 공격 UP


五神杖・真,오신장・진
狂気の瑞光は天上天下に展開し、全ての命に操りの糸を植え付ける。自我を保つままに自由を奪われ、愛しき者に手をかける傀儡達を見て、閃光は静かにせせら笑う。
聖柱五星封陣＋,성주오성봉진＋
光属性ダメージ(特大)/味方全体のHPを回復/再生効果,광속성 데미지(특대) / 아군 전체의 HP를 회복 / 재생 효과


五神杖・焔,오신장・염
火属性ダメージ(特大)/味方全体のHPを回復/再生効果,화속성 데미지(특대) / 아군 전체의 HP를 회복 / 재생 효과

五神杖・雪,오신장・설
水属性ダメージ(特大)/味方全体のHPを回復/再生効果,수속성 데미지(특대) / 아군 전체의 HP를 회복 / 재생 효과

五神杖・界,오신장・계
土属性ダメージ(特大)/味方全体のHPを回復/再生効果,토속성 데미지(특대) / 아군 전체의 HP를 회복 / 재생 효과

五神杖・凪,오신장・지
風属性ダメージ(特大)/味方全体のHPを回復/再生効果,풍속성 데미지(특대) / 아군 전체의 HP를 회복 / 재생 효과

五神杖・煌,오신장・황

五神杖・煉,오신장・연
闇属性ダメージ(特大)/味方全体のHPを回復/再生効果,암속성 데미지(특대) / 아군 전체의 HP를 회복 / 재생 효과


バレンタインワンド,발렌타인 완드
な香りは、想い人の心に、思うが儘の親愛を植え付ける。甘い香りは虫も寄せてしまうが、悪い虫を払うのも愛を受けた者の定めだろう。
闇属性ダメージ(特大)/稀に魅了効果,암속성 데미지(특대) / 드물게 매료 효과


マギ・リアリジスセプター,마기・리어리지스 셉터
狂気の瑞光は天上天下に展開し、全ての命に操りの糸を植え付ける。自我を保つままに自由を奪われ、愛しき者に手をかける傀儡達を見て、閃光は静かにせせら笑う。
リビジョン・アゴー,리비전 어고
光属性ダメージ(特大)/トリプルアタック確率UP,광속성 데미지(특대) / 트리플 어택 확률 UP


バハムートスタッフ・ノヴム,바하무트 스태프・노붐
創世の龍の膨大なる知識を象り、畏怖の念を込めて造られた杖。人智を遥かに超える絶望の算段を的確に導きだし、容易に顕現する。,창세의 용의 방대한 지식에 경외감을 담아 만든 지팡이。인지를 아득히 뛰어넘는 절망의 수단을 확실하게 이끌어 낸다
コンキリオ・ケルレウス,콩킬리오・켈레오스
エルーン族とハーヴィン族の攻撃力/HP上昇,엘룬과 하빈의 공격력과 HP 상승


ニルヴァーナ,니르바나
実現不能と謡われた奇跡を顕現せし、聖者の崇敬に杖は呼応し、真なる姿を解放する。救世の瑞光は余すことなく広がり、誰も彼もが笑う優しき理想郷を創造すべく、人々の心を呪縛する負の鎖を断つ。
アカシックレコード,아카식 레코드
悟りの境地,깨달음의 경지
ヒールオールの効果UP,힐 올의 효과 UP
輪廻転生,윤회전생
ヒールオール使用時に自分に自動復活効果,힐 올 사용시 자신에게 자동 부활 효과


ケラウノス,케라우노스
魔導の全てを解き明かし、真実を見据える賢者の双眸に杖は呼応し、真なる姿を解放する。世界を構築する大いなる真理の前では、敵意を抱くことさえ叶わない。
グランメティオール,그랑 메테오르
雷鳴の轟き,뇌명의 고동
エーテルブラストの効果UP,에테르 블래스트의 효과 UP
天変地異,천변지이
フォーカスの効果UP,포커스의 효과 UP


五神杖・紅天,오신장・홍천
聖柱五星封陣＋＋,성주오성봉진＋＋

五神杖・蒼天,오신장・창천

五神杖・疾天,오신장・질천

五神杖・轟天,오신장・굉천

五神杖・白天,오신장・백천

五神杖・黒天,오신장・흑천


カーラウロプス,칼라우롭스
捻じれ歪む幻惑の暗影は現の世を緩やかに蝕む。汚染された世界は人々に大願成就の儚き夢を見せ、代償として命を溶かす。
ユーゴーアウェイ,유 고 어웨이
闇属性ダメージ(特大)/攻防DOWN,암속성 데미지(특대) / 공방 DOWN
禁忌の悲恋,금기의 비련
闇属性キャラの光属性ダメージ軽減,암속성 캐릭터의 광속성 데미지 경감


ゴトルベルケーン,고트 벨 케인
シェロカルテの相棒が居座る吉兆の杖。福音と共鳴するが如く愉快な鳥は高らかに歌い、冒険者達に新たな出会いを齎す。
福音の鐘,복음의 종
祝福の鐘音,축복의 종소리


セプティアンバーナー,셉티언 버너
烈火を司る守護者の力を有す宝具は、天上天下を灼熱の海へと変える。延々と猛る劫火を鎮める術はこの世には存在せず、森羅万象が灰となって消え失せる。
イグナイトゾーン,이그나이트 존
火属性ダメージ(特大)/トレジャーハント効果,화속성 데미지(특대) / 트레저 헌트 효과
繁栄の祭火,번영의 제화
メイン装備時アイテムドロップ率UP,메인 장비시 아이템 드롭률 UP


ハイロイヤルポール,하이 로열 폴
兵と民とを導く者が掲げる杖。杖頭に嵌められた宝石の放つ青緑の輝きは続く者達の道しるべとなる。いかなる時も消える事なき確かな光は、たとえ闇獄の底においても人々に希望を与え続ける。
ディスオーダーバーン,디스오더 번
風属性ダメージ(特大)/攻撃または防御DOWN,풍속성 데미지(특대) / 공격 또는 방어 DOWN


トリート・ウロボロス,트릿 우로보로스
幽幻の宴は惑う者全てを怪しく彩る。境界を凌駕せし術師の業は、禁忌の自在をも容易く従え、あらゆる神秘を白日の下に晒す。
ハロウィニアン・サーペント,할로위니안 서펜트
闇属性ダメージ(特大)/キュアポーション生成,암속성 데미지(특대) / 큐어 포션 생성


ガンバンテイン,간반테인
邪悪なる者の魔力を封じ込め、純粋なる者に祝福をもたらす杖。その複雑な意匠は心の有り様によって神々しくも禍々しくも映る。
グレート・オース,그레이트 오스


クリスマスワンド,크리스마스 완드
清らかな金鈴と魔を払う鮮やかな赤実が施された聖杖。雪風に踊る金鈴は聖者が託した永遠の祈り。清廉にして凜然たる音色で闇夜を輝かし、赤き老聖人が道に迷うことなく家々を訪れるべく鳴り続ける。
プレジャー・マテリアル,플레저 머티리얼
土属性ダメージ(特大)/トレジャーハント効果,토속성 데미지(특대) / 트레저 헌트 효과


ニルヴァーナ・リビルド,니르바나・리빌드
英雄の携えた杖は、鍛錬の果てに新たな礎を得た。秘めたる力をその身に宿し、覚醒の時を待つ。,영웅의 지팡이는 연마 끝에 새로운 힘을 얻었다。숨겨진 힘을 품고 각성할 때를 기다린다
アカシックレコード＋＋,아카식 레코드＋＋

ニルヴァーナ・ウヌ,니르바나・우누
救世の光を示すべく、奇跡をもって万人を救済する聖者。何より尊きその意志は炎に聖なる力を宿し、全ての穢れを焼き払わん。,구세의 빛으로 기적을 일으켜 모든 사람을 구원하는 성자。무엇보다도 고귀한 그 의지는 불에 성스러운 힘을 담아 모든 부정한 것들을 불태워 버리리라
火属性ダメージ(特大)/奥義ゲージUP(**%)/回復効果UP/回復上限UP,화속성 데미지(특대) / 오의 게이지 UP(**%) / 회복 효과 UP / 회복 상한 UP

ニルヴァーナ・ドゥ,니르바나・두
救世の光を示すべく、奇跡をもって万人を救済する聖者。何より尊きその意志は水に聖なる力を宿し、生命の根源をもって人々を救わん。,구세의 빛으로 기적을 일으켜 모든 사람을 구원하는 성자。무엇보다도 고귀한 그 의지는 물에 성스러운 힘을 담아 생명의 근원으로 사람들을 구하리라
水属性ダメージ(特大)/奥義ゲージUP(**%)/回復効果UP/回復上限UP,수속성 데미지(특대) / 오의 게이지 UP(**%) / 회복 효과 UP / 회복 상한 UP

ニルヴァーナ・トリ,니르바나・트리
救世の光を示すべく、奇跡をもって万人を救済する聖者。何より尊きその意志は土に聖なる力に宿し、その母たる力で糧を与えん。,구세의 빛으로 기적을 일으켜 모든 사람을 구원하는 성자。무엇보다도 고귀한 그 의지는 땅에 성스러운 힘을 담아 근원의 힘으로 양식을 주리라
土属性ダメージ(特大)/奥義ゲージUP(**%)/回復効果UP/回復上限UP,토속성 데미지(특대) / 오의 게이지 UP(**%) / 회복 효과 UP / 회복 상한 UP


ニルヴァーナ・クヴァール,니르바나・크바르
救世の光を示すべく、奇跡をもって万人を救済する聖者。何より尊きその意志は風に聖なる力に宿し、悪しき心を吹き払わん。,구세의 빛으로 기적을 일으켜 모든 사람을 구원하는 성자。무엇보다도 고귀한 그 의지는 바람에 성스러운 힘이 담아 악한 마음을 날려 버리리라
風属性ダメージ(特大)/奥義ゲージUP(**%)/回復効果UP/回復上限UP,풍속성 데미지(특대) / 오의 게이지 UP(**%) / 회복 효과 UP / 회복 상한 UP

ニルヴァーナ・クヴィン,니르바나・크빈
救世の光を示すべく、奇跡をもって万人を救済する聖者。何より尊きその意志は聖なる光を煌々と宿し、世の影を消し去らん。,구세의 빛으로 기적을 일으켜 모든 사람을 구원하는 성자。무엇보다도 고귀한 그 의지는 성스러운 빛을 머금고 세상의 그림자를 지우리라
光属性ダメージ(特大)/奥義ゲージUP(**%)/回復効果UP/回復上限UP,광속성 데미지(특대) / 오의 게이지 UP(**%) / 회복 효과 UP / 회복 상한 UP

ニルヴァーナ・セス,니르바나・세스
救世の光を示すべく、奇跡をもって万人を救済する聖者。何より尊きその意志は闇に堕ちた者にさえ寄り添い、救いの道を指し示さん。,"구세의 빛으로 기적을 일으켜 모든 사람을 구원하는 성자。무엇보다도 고귀한 그 의지는 어둠에 빠진 자에게 조차도 다가가, 구원의 길로 인도하리라"
闇属性ダメージ(特大)/奥義ゲージUP(**%)/回復効果UP/回復上限UP,암속성 데미지(특대) / 오의 게이지 UP(**%) / 회복 효과 UP / 회복 상한 UP


ケラウノス・リビルド,케라우노스・리빌드
グランメティオール＋＋,그랑 메테오르＋＋


ケラウノス・ウヌ,케라우노스・우누
魔導の真理に至りし力は、神話の炎を呼び寄せた。それはさながら世を滅ぼす神判が如く。賢者の智は万物を灼き、灰さえ残さぬ獄炎へと変貌する。
火属性ダメージ(特大)/奥義ゲージUP(**%)/アビリティダメージUP,화속성 데미지(특대) / 오의 게이지 UP(**%) / 어벌리티 데미지 UP

ケラウノス・ドゥ,케라우노스・두
魔導の真理に至りし力は、神話の氷河を呼び寄せた。それはさながら世を滅ぼす神判が如く。賢者の智は万物を凍てつかせ、生者を許さぬ氷獄を生む。
水属性ダメージ(特大)/奥義ゲージUP(**%)/アビリティダメージUP,수속성 데미지(특대) / 오의 게이지 UP(**%) / 어벌리티 데미지 UP

ケラウノス・トリ,케라우노스・트리
魔導の真理に至りし力は、神話の情景を呼び寄せた。それはさながら世の始まりの如く、山河をも生み出す。賢者の智は万物を創り、生命の礎すら顕現させる。
土属性ダメージ(特大)/奥義ゲージUP(**%)/アビリティダメージUP,토속성 데미지(특대) / 오의 게이지 UP(**%) / 어벌리티 데미지 UP

ケラウノス・クヴァール,케라우노스・크바르
魔導の真理に至りし力は、神話に記されし風を呼び起こす。それはさながら精霊の所業が如く。賢者の智は東西を問わず吹きすさび、世の万物を見る。
風属性ダメージ(特大)/奥義ゲージUP(**%)/アビリティダメージUP,풍속성 데미지(특대) / 오의 게이지 UP(**%) / 어벌리티 데미지 UP

ケラウノス・クヴィン,케라우노스・크빈
魔導の真理に至りし力は、神話の光を呼び寄せた。それはさながら創世の雷が如く。賢者の智は創世の光に辿り着き、その根源を知る。
光属性ダメージ(特大)/奥義ゲージUP(**%)/アビリティダメージUP,광속성 데미지(특대) / 오의 게이지 UP(**%) / 어벌리티 데미지 UP

ケラウノス・セス,케라우노스・세스
魔導の真理に至りし力は、神話の闇を呼び寄せた。それはさながら世の胎たる虚無が如く。賢者の智は創世の母に辿り着き、その姿を知る。
闇属性ダメージ(特大)/奥義ゲージUP(**%)/アビリティダメージUP,암속성 데미지(특대) / 오의 게이지 UP(**%) / 어벌리티 데미지 UP


世界樹の雫枝・マグナ,세계수의 영지・마그나
悠久を知り万理一空に想いを馳せてきた大樹は、己が分身を歴戦の冒険者へ託す。その一枝万葉の意匠は荘厳にして純然、永劫の叡智を湛える。


カピラヴァストゥ,카필라바스투
古今東西、ありとあらゆる魔導哲理を究めんと欲する強き志に呼応し、真なる姿を解放する。その思索の深きに杖は共鳴し、秘められた極限の叡智へと導く。
グレート・パニッシュメント,그레이트 퍼니시먼트
叡智の門,예지의 문
宿命陣効果UP,숙명진의 효과 UP
葬られし言の葉,파묻힌 말
他心陣効果UP,타심진의 효과 UP


カピラヴァストゥ・リビルド,카필라바스투・리빌드
グレート・パニッシュメント＋＋,그레이트 퍼니시먼트＋＋


カピラヴァストゥ・ウヌ,카필라바스투・우누
翳せば心中の雲晴れて明晰となり、突けば智慧の泉が溢れ出す。賢哲はついに杖を振り、厳かに口元を結ぶと、太古より甦りし尊き炎の術を行使する。
火属性ダメージ(特大)/奥義ゲージUP(**%)/自分のHP回復,화속성 데미지(특대) / 오의 게이지 UP(**%) / 자신의 HP 회복

カピラヴァストゥ・ドゥ,카필라바스투・두
翳せば心中の雲晴れて明晰となり、突けば智慧の泉が溢れ出す。賢哲はついに杖を振り、厳かに口元を結ぶと、静謐にして清澄なる流水の術を行使する。
水属性ダメージ(特大)/奥義ゲージUP(**%)/自分のHP回復,수속성 데미지(특대) / 오의 게이지 UP(**%) / 자신의 HP 회복

カピラヴァストゥ・トリ,카필라바스투・트리
翳せば心中の雲晴れて明晰となり、突けば智慧の泉が溢れ出す。賢哲はついに杖を振り、厳かに口元を結ぶと、胎動する山々に反響する生命の術を行使する。
土属性ダメージ(特大)/奥義ゲージUP(**%)/自分のHP回復,토속성 데미지(특대) / 오의 게이지 UP(**%) / 자신의 HP 회복

カピラヴァストゥ・クヴァール,카필라바스투・크바르
翳せば心中の雲晴れて明晰となり、突けば智慧の泉が溢れ出す。賢哲はついに杖を振り、厳かに口元を結ぶと、大いなる碧空を統べる息吹の術を行使する。
風属性ダメージ(特大)/奥義ゲージUP(**%)/自分のHP回復,풍속성 데미지(특대) / 오의 게이지 UP(**%) / 자신의 HP 회복

カピラヴァストゥ・クヴィン,카필라바스투・크빈
翳せば心中の雲晴れて明晰となり、突けば智慧の泉が溢れ出す。賢哲はついに杖を振り、厳かに口元を結ぶと、世界を無量に遍照する光輝の術を行使する。
光属性ダメージ(特大)/奥義ゲージUP(**%)/自分のHP回復,광속성 데미지(특대) / 오의 게이지 UP(**%) / 자신의 HP 회복

カピラヴァストゥ・セス,카필라바스투・세스
翳せば心中の雲晴れて明晰となり、突けば智慧の泉が溢れ出す。賢哲はついに杖を振り、厳かに口元を結ぶと、深淵なる暗黒に波動する禁断の術を行使する。


リング・オブ・サン,링 오브 선
小さき日輪を頂くは、その仁徳をもって全空を遍く照らす黄金の権杖。天高くかざせば千条の光、雲間より溢れ、振り払えば無量の慈愛に雲の海が割れる。生み出される数々の奇跡は常に迷える者達のためにある。
ガンマスフィア,감마 스피어
"火属性ダメージ(特大)　<span class=""text-blue"">◆フィールド効果「フレア」発生時にダメージUP</span>","화속성 데미지(특대)　<span class=""text-blue"">◆필드 효과 「플레어」 발생시 데미지 UP</span>"
日輪の御導き,태양의 인도
フィールド効果「フレア」発生時にダブルアタック確率UP　◆メイン装備時/主人公のみ,필드 효과 「플레어」 발생시 더블어택 확률 UP　◆메인 장비시 / 주인공만


バハムートスタッフ・フツルス,바하무트 스태프・푸투루스
創世の龍の膨大なる知識を象り、畏怖の念を込めて造られた終極の杖。人智を凌駕する絶後の叡智は本能さながらにうねり、永劫も真理も悉く此れを呑み込む。
コンキリオ・インベル,콩킬리오・임베르
ヴィータ・インベル,비타・임베르
パーティのエルーン族とハーヴィン族のキャラの数に応じて攻撃力と最大HP上昇,파티의 엘룬과 하빈의 캐릭터 수에 따라 공격력과 최대 HP 상승


ロッド・オブ・コスモス,로드 오브 코스모스
混沌を治める秩序の杖。赤き瞳の少女は従えし龍の力を紡ぎ出し、蒼き祈りを込めて結晶化させた。その輝きは黎明となって乱世に絶対の律を布くだろう。
メディエーションエーテル＋,미디에이션 에테르＋
装備中の「杖」の攻撃力とHPが上昇,장비한 「지팡이」의 공격력과 HP가 상승
秩序の蒼杖,질서의 푸른 지팡이
装備している「杖」の数が多いほどダメージ上限上昇,장비한 「지팡이」의 수가 많을수록 데미지 상한 상승


カドゥケウス,카두케우스

救いの杖,구원의 지팡이
武器属性ダメージ(特大)/自分のアビリティ再使用間隔を*ターン短縮,무기속성 데미지(특대) / 자신의 어빌리티 재사용 간격을 *턴 단축


マグマストリーム,마그마 스트림

マグマエクスプロージョン,마그마 익스플로전
火属性ダメージ(特大)/敵全体の防御DOWN,화속성 데미지(특대) / 적 전체의 방어 DOWN
防戦の雲散,방위의 운산
防衛戦開始時に弱体効果無効効果(*回),방위전 시작시 약화 효과 무효 효과(*회)


ホワイトウイング,화이트 윙
雄大な一枚翼の羽ばたきが起こす風は、神の息吹となり大地を吹き抜け、人々の心に安寧を運ぶ。その恩恵は、救いを求める者の元に平等に授けられる。
ホワイトネス・フロウ,화이트니스 블로우


夢見の書,꿈의 책
無窮の夢に干渉出来る、夢の支配者が持つ一冊。夢とは、肉体と精神をつなぐ危うい渡り綱のように脆く、甘美で、枢要なもの。ひとたび他者に冒されたなら、永遠に醒めぬ夢を見せられ続けるだろう。
シーイング・レコード,시잉 레코드
水属性ダメージ(特大)/睡眠効果,수속성 데미지(특대) / 수면 효과


フォニックロッド,포닉 로드
遥か彼方の異界において、かつて全世界を揺るがせた大戦の時代の遺産の一つ。世にも美しく不思議な旋律によって杖の隠されし力が呼び覚まされ、術者に稀有なる恩恵を与える。
エクレールラルム,에클레르 라흠
マジックチャージ,매직 차지
スピードスペル,스피드 스펠


ウィーブルロッド,위블 로드
遥か彼方の異界で、辺境に伝わる竜の姿を模したと言われる杖。繊細な細工を施された美しきその杖は、持つ者の秘められた力を呼び覚ますという。,"머나먼 이계에서, 근경에 전해지는 용의 모습을 본떴다고 일컬어지던 지팡이。섬세한 세공이 새겨진 그 아름다운 지팡이는, 사용자의 숨겨진 힘을 일깨운다고 한다"
リベールイグニッション,리벨 이그니션
インテリジェンス,인텔리전스
"<span class=""text-small"">闇属性キャラの攻撃力上昇(大)/闇属性キャラの最大HP-*%</span>","<span class=""text-small"">암속성 캐릭터의 공격력 상승(대) / 암속성 캐릭터의 최대 HP -*%</span>"
デクステリティ,덱스테리티


白虎牙杖,백호아장
高貴なる白銀纏う霊獣は破天の咆哮を轟かす。剥き出しの暴威を吸った牙をいただく戦棍は、軽く振り下ろしただけで鋼鉄の重鎧を砕き、太き骨まで食い破る。
四象大道帝杯・西白,사상대도제배・서백
土属性ダメージ(特大)/奥義ダメージUP,토속성 데미지(특대) / 오의 데미지 UP


ブラック・アンド・ダークネス,블랙 앤드 다크니스
地の最果てにて渦巻きし暗き怨嗟と悲嘆の叫びが凝縮した杖。永劫の時を経てなお、輪廻転生を拒むその順わぬ魂たちの呪怨は、周囲に滅びを与え、万象に呪いを振りまく。
ダークマター,다크매터
闇属性ダメージ(特大)/*ターンの間アビリティ封印無効,암속성 데미지(특대) / *턴 동안 어빌리티 봉인 무효


キャピュレティオウス,캐퓰릿 오스
キャピュレット家の紋章が刻み込まれた神々しくも華やかな杖。ひと度、この杖を儀式や祭典で高々と掲げれば、聴衆は歓声をあげ、羨望の眼差しで見るだろう。手にしたものは皆、富と名声、そして愛を得るはずだ。
キャピュレティス・ラダー,캐퓰리티스 러더
光属性ダメージ(特大)/再生効果,광속성 데미지(특대) / 재생 효과


モンタギュオウス,몬테규 오스
モンタギューの紋章が刻み込まれた神々しくも清廉とした杖。ひと度、この杖を儀式や祭典で高々と掲げれば、聴衆は粛々とし、敬意を表する。この杖を手にした者は、一時代を築く長になるであろう。
ヘラルド・オブ・ザ・ムーン,헤럴드 오브 더 문


インフェルノリークス,인페르노 리크스
古の魔道士は禁忌の秘術を書物に収めると、その書物自体に魔術を施し永遠に燃え盛る炎を纏わせた。この封印を解き、禁忌の秘術を唱える者は現れるのだろうか。
グラットン・フレイム,글러튼 플레임


星屑の聖杖,별무리의 성장
強い生命力を持つ大樹の枝葉から着想を得た金色の杖は、そこから生み出される魔力により、瞬く星さえも従える。満月が煌めき、無垢な粉雪が舞い散る聖夜こそ、この杖が持つ華やかさを最大限に引き立たせるだろう。
スターダスト・フォール,스타더스트 폴
水属性ダメージ(特大)/回復効果UP/回復上限UP,수속성 데미지(특대) / 회복 효과 UP / 회복 상한 UP


グリダーヴォル,그리다버
迸る生命を体現し伸び行く木枝を模した、夥しき琥珀から削り出された杖。滾るような陽の光を反射し黄金に輝く時、此の世の全てを浄化せしめん。
アストラルブラスト,아스트랄 블래스트
闇属性ダメージ(特大)/無属性追加ダメージ,암속성 데미지(특대) / 무속성 추가 데미지


ルナのおともだち,루나의 친구
愛くるしき様相をもって、穢れた魂を浄化する縫い包み。いつもどこでも傍らに置く事で、魂を宿したる真の友となろう。
ファントムハウル,팬텀 하울
闇属性ダメージ(特大)/稀に即死効果,암속성 데미지(특대) / 드물게 즉사 효과
お友達になってくれる？,친구가 되어줄래？
魂の共鳴,영혼의 공명


ワンド・オブ・ガブリエル,완드 오브 가브리엘
天司ガブリエルから比類なき水の属性の加護を施された杖。空に映えし蒼き六枚の翼は、強大な渦を起こし万物を母なる海へと還す。手にする者を魅了する荘厳な煌めきは、闇をも払う力となろう。
セラフグラス,세라프 글라스
ガブリエルの祝福II,가브리엘의 축복 II
水属性のキャラが火属性の敵に対して与ダメージUP,수속성 캐릭터가 화속성 적에게 가하는 데미지 UP


ローズクリスタルワンド,로즈 크리스탈 완드
燃えるが如く咲き誇る薔薇の生命力を結集し象られた杖。滅びを失った薔薇は、尽きることのない永遠の命を費やし、杖の所有者に莫大な恩恵を齎す。
ドミネイションフレア,도미네이션 플레어
紅薔薇の棘,붉은 장미의 가시
紅薔薇の花弁,붉은 장미의 꽃잎
風属性ダメージ軽減,풍속성 데미지 경감


銀の依代の杖,은빛 의대용 지팡이
漆黒の闇夜を比類なき燐光をもって照らし出す、銀の依代の杖。一縷の望みに天命を賭してこそ、その彷徨う心魂は導かれ峻厳たる蒼天の果てへと向かう。,"칠흑 같은 어두운 밤에도 인광을 내는 은빛 의대용 지팡이。한가닥 희망에 천명을 걸었을 때, 그 방황하는 심혼은 인도되어 준엄한 창천의 끝으로 향한다"

黄金の依代の杖,황금빛 의대용 지팡이
天地万物随一の燦爛をもって、混沌たる世の中を掌握せしめんとする黄金の依代の杖。遥かなる高みに辿り着きし者こそが、万有の主となろう。,천지만물 제일의 찬란함으로 혼돈스러운 세상을 장악하고 있는 황금빛 의대용 지팡이。까마득히 높은 경지에 도달한 자야말로 만물의 주인이 될 것이다


テュルソス,티르소스
豊穣なる実りを祈りし祭儀にて、祈りの言葉と共に大地に捧げられし聖杖。やがてその身を依代として、大地の恵みが芽吹くだろう。
バッコース,바커스


ブラック・ウロボロス,블랙 우로보로스
死と再生を司りしウロボロスは、漆黒の闇より錬成された悪魔の杖にその身を捧げる。溢れんばかりの禍々しき力によりて、有象無象を根幹から破壊するだろう。
コラプト・インフィニティ,커럽트 인피니티
肉体修復,육체수복
メイン装備時に主人公のみ再生効果,메인 장비시 주인공만 재생 효과


ブルースフィア,블루 스피어
