orig,kr
暗殺者の証,암살자의 증표
大きな功績を残した歴戦の暗殺者に贈られる名誉ある証,위대한 공적을 세운 역전의 암살자에게 주어지는 명예로운 증표
双剣士の証,쌍검사의 증표
大きな功績を残した歴戦の双剣士に贈られる名誉ある証,위대한 공적을 세운 역전의 쌍검사에게 주어지는 명예로운 증표
楽師の証,악사의 증표
大きな功績を残した歴戦の楽師に贈られる名誉ある証,위대한 공적을 세운 역전의 악사에게 주어지는 명예로운 증표
森人の証,삼림인의 증표
大きな功績を残した歴戦の森人に贈られる名誉ある証,위대한 공적을 세운 역전의 삼림인에게 주어지는 명예로운 증표
重竜騎兵の証,중용기병의 증표
大きな功績を残した歴戦の重竜騎兵に贈られる名誉ある証,위대한 공적을 세운 역전의 중용기병에게 주어지는 명예로운 증표
幽世の黒紫刃,유세의 검보랏빛 칼날
幽世の軍獣の背中にある鋭い刃。<br>異界の魔力を帯びて紫色に発光している。,유세의 짐승 등에 자라나 있는 예리한 칼날.<br>이계의 마력을 띠며 보라빛으로 발광하고 있다
アスタロトのアニマ,아스타로트의 아니마
アスタロトの力の結晶,아스타로트의 힘이 담긴 결정


"!이벤트(사상포함, 수집된것만 적어서 빠진건 주기적으로 넣어줘야함)"
朱雀印符,주작인부
朱雀にその武を認められた証。新たな試練への道標になるという伝説がある。,주작에게 실력을 인정받은 증거. 새로운 시련으로 인도한다는 전설이 있다.
玄武印符,현무인부
玄武にその武を認められた証。新たな試練への道標になるという伝説がある。,현무에게 실력을 인정받은 증거. 새로운 시련으로 인도한다는 전설이 있다.
白虎印符,백호인부
白虎にその武を認められた証。新たな試練への道標になるという伝説がある。,백호에게 실력을 인정받은 증거. 새로운 시련으로 인도한다는 전설이 있다.
青竜印符,청룡인부
青竜にその武を認められた証。新たな試練への道標になるという伝説がある。,청룡에게 실력을 인정받은 증거. 새로운 시련으로 인도한다는 전설이 있다.
四象金印,사상금인
持つものを新たなる試練へと導くと言われる神聖なる証。,소유자를 새로운 시련으로 이끄는 신성한 증표
南朱の霊宝,남주의 영보
南方を守護する霊獣の力を宿した石。,남쪽을 수호하는 영물의 힘을 담은 돌
北玄の霊宝,북현의 영보
北方を守護する霊獣の力を宿した石。,북쪽을 수호하는 영물의 힘을 담은 돌
西白の霊宝,서백의 영보
西方を守護する霊獣の力を宿した石。,서쪽을 수호하는 영물의 힘을 담은 돌
東青の霊宝,동청의 영보
東方を守護する霊獣の力を宿した石。,동쪽을 수호하는 영물의 힘을 담은 돌
黄金の札,황금 패
眩い輝きを放つ黄金の板。,휘황찬란한 황금판
黄金の札束,황금패뭉치
眩い輝きを放つ黄金の板を5枚束ねたもの。,휘황찬란한 황금판을 5장 묶은 것
黒曜石の札,흑요석 패
重厚な輝きを放つ黒曜石の板。,중후한 빛을 내는 흑요석판
黒曜石の札束,흑요석 패뭉치
重厚な輝きを放つ黒曜石の板を5枚束ねたもの。,중후한 빛을 내는 흑요석판을 5장 묶은 것
揺らめく灯籠,흔들리는 등롱
ゆらゆらとほのかに灯る灯籠,희미하게 켜진 등롱
荒ぶる大灯籠,거칠게 흔들리는 대등롱
大粒の火球が揺らめく灯籠,큰 불덩이가 흔들리는 등롱
降呼の楔,강호의 쐐기
神隠しの女神に呼応する楔,행방불명의 여신에게 호응하는 쐐기
降引の像,강인의 형상
神隠しの女神を模した小像,행방불명의 여신을 본뜬 모형
梔子のかんざし,치자 비녀
清らかな雨の恵みを願い、雨期に咲く花で作られたかんざし,단비를 기원하며 우기에 피는 꽃으로 만든 비녀
魔晶サンプル,마정샘플
禍々しい力を秘めた魔晶のサンプル,불길한 힘을 감춘 마정의 샘플
世界蛇の牙,세계뱀의 이빨
世界を取り囲むと云われる蛇から抜け落ちた牙,세계를 에워싼다고 전해지는 뱀에게서 빠진 이빨
ドルミールライト,도르미르 라이트
荒廃した大地を嘆き、涙した神から生まれた宝石,"황폐해진 대지를 보고 슬퍼하며, 눈물을 흘린 신에게서 탄생한 보석"
特大団子,특대 경단
ユディスティラ伝統の製法で作られた、栄養価の高い団子,유디스티라의 전통 제조법으로 만든 영양가 높은 경단
ユディスティラシュリンプ,유디스티라 슈림프
ユディスティラ島に生息しているエビ,유디스티라 섬에서 서식하는 새우
呪怨の数珠,주원의 염주
ゴブリン族の憎悪が込められた数珠,고블린족의 증오가 담긴 염주
光の巨人像,빛의 거인상
昏き島に封印されているという、光の巨人を模して造られた像,검은섬에 봉인 되었다는 빛의 거인을 본뜬 조각상
水還の儀酒,수환의 의주
アウギュステの儀祭で用いられる儀式用の酒,아우규스테 의식에 사용되는 의식용 술
大真珠,커다란 진주
魔力を秘めているとされる、ひときわ大きな真珠,"마력을 지닌 것으로 알려진, 유난히 큰 진주"
憎悪の嘆き,증오의 탄식
人々の憎しみが生み出した、悲しみの結晶,사람들의 증오가 낳은 슬픔의 결정체
憤怒のイドラ,분노의 이돌라
人々の根幹にある闘争心が生み出す、怒りの集合体,사람들의 근간인 투쟁심이 만들어낸 분노의 집합체
黄金の欠片,황금 조각
黄金に輝く金鉱,황금빛을 내는 광석
黄金の指輪,황금 반지
高度な加工技術を用いて作られた指輪,고도의 가공기술을 사용하여 만들어진 반지
古びた書物の破片,낡은 책조각
文字のようなものが書かれた古い時代の書物の一部,문자같은 것이 쓰여진 구시대 서적의 일부
ログノスの金印,로그노스의 금도장
ログノス島で発掘された黄金色に輝く金印,로그노스 섬에서 발굴된 황금빛 금도장
慟哭の残骸,통곡의 잔해
恨みの声を上げる魔物が残していく透明な液体,원망하는 소리를 내는 마물이 남긴 투명한 액체
悲哀の仮面,비애의 가면
謎の手形が描かれた不気味な仮面,수수께끼의 손자국이 새겨진 섬뜩한 가면
靄苔石,애태석
隙間から靄を吐き出しつづける不思議な石,틈새에서 계속해서 안개를 내뿜는 신기한 돌
エンシェントバクテリウム,에이션트 박테리움
古の時代に存在した魔導菌の採取サンプル,고대에 존재한 마도균의 채취 샘플
グロキシニアの花,글록시니아 꽃
「欲望」を花言葉とする美しい花,‘욕망’이라는 꽃말을 가진 아름다운 꽃
魅惑の宝石,매혹의 보석
見るものを惑わす魔性の力を秘めた宝石,보는 이를 현혹하는 마성의 힘을 지닌 보석
凍れる炎,얼어붙은 불
静かな冷気を纏った、蒼く輝く炎,고요한 냉기를 감싼 푸르게 빛나는 불꽃
エスカラス王の紋章,에스칼루스 왕의 문장
かつてヴェローナを統治した王を象徴する紋章,한 때 베로나를 통치했던 왕을 상징하는 문장
壊獣標本,괴수 표본
研究用に保存された壊獣の体の一部,연구용으로 보존된 괴수의 신체 일부
デストロイ・コア,디스트로이 코어
特殊なエネルギーを蓄積し放出することができる、閃光壊獣の核となる物質,특수한 에너지를 축적하고 방출할 수 있는 섬광괴수의 핵이되는 물질
カニのこませ,게 밑밥
カニのうまみが拡がり強い誘引力のある撒き餌,게 맛이 강하며 유인력이 있는 먹이
オキアミ,크릴
その大きさのわりに大味でなく、美味な甲殻類,크기는 작지만 맛좋은 갑각류
うねる影塊,꾸물거리는 그림자 덩어리
泡立ちながら絶えず形を変える影の塊,거품이 일면서 끊임없이 형태를 바꾸는 그림자 덩어리
鏡の群晶,거울의 집합체
表面が光を反射する程艶やかな群晶,표면이 빛을 반사할 정도로 윤기나는 집합체
汚れた麻袋,더러운 마대
人々の負の感情がしみ込んだ薄汚れた麻袋,사람들의 부정적인 감정이 스며든 지저분한 마대
法陣の魔晶石,법진의 마정석
魔法陣を生成する際に必要な魔力がこもった綺麗な宝石,마법진을 생성할 때 필요한 마력이 담긴 깨끗한 보석
針葉樹の木片,침엽수의 나뭇조각
近くにアマツタケが生えていると言われる針葉樹の木片,근처에서 하늘버섯이 자란다고 알려진 침엽수의 나뭇조각
闘虫禍草の切れ端,투충화초의 조각
山のヌシが好んで食す、闘虫禍草の切れ端,산의 주인이 즐겨먹는 투충화초의 조각
秋山のメダリオン,가을산의 메달리온
山駆ける少女で入手できる交換素材。集めることで様々な報酬と交換できる。,산을 달리는 소녀에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
呪印の刻まれた紙,저주가 새겨진 종이
謎の呪印が記された羊皮紙,의문의 저주가 새겨진 양피지
オールド・タリスマン,올드 탈리스만
古めかしいタリスマン,고풍스러운 탈리스만
犬まっしぐら骨肉,개가 좋아하는 살붙은 뼈
どんな犬でもこれをみたらたまらず咥えてしまう骨,어떤 개라도 보면 참지 못하고 물어버리는 뼈
シンボルオブリバティー,심볼 오브 리버티
オイ達は自由だ！ヒャッハー！と書かれた自由の象徴,우리들은 자유다 !  햣하 ! 라고 쓰여진 자유의 상징
巫女のメダリオン,무녀의 메달리온
舞い歌う五花で入手できる交換素材。集めることで様々な報酬と交換できる。,춤추며 노래하는 다섯송이 꽃에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
忘却の信仰心,망각의 신앙심
皆が忘れてしまったがゆえにボロボロになってしまった信仰心,모두가 잊어버렸기 때문에 깨져버린 신앙심
絆の信仰心,인연의 신앙심
あの熱狂をもう一度一緒に！ティクニウトリ・ショロトル！,그때의 열광을 다시 한번 모두와 함께！티크니우틀리・숄로틀！
山盛りポテト,수북한 감자튀김
あ、イモ追加で。これパクつきながらオールキメるっしょ！,여기 감튀 추가요. 이거 다 먹으면 메뉴 올킬임！
メガジャンボパフェ,메가 점보 파르페
ちょ、マジパねぇサイズ感じゃねコレ？完食イケる？イケるっしょ！？ウェーイ！,"잠만, 이거 사이즈 실화냐？ 다 먹을 각은 나옴? 나오겠지！？ 웨이！"
魔物の血壺,마물의 피를 담은 병
用途不明の血液を溜めた壺。ひどい臭気を放っている。,용도불명의 피를 담은 병. 지독한 악취를 풍기고 있다
不浄の逆鱗,부정의 역린
その昔悪逆非道を尽くした竜の逆鱗。その鋭さは触れることも憚れる。,과거 악역무도했던 용의 역린. 날카로워 건드리기 꺼려진다
カニカゴ,게 통발
一般的に普及しているカニカゴ。ある程度の大きさのカニが獲れる。,일반적으로 보급되어 있는 게 통발 적당한 크기의 게가 잡힌다
カニカゴDX,게 통발 DX
「どんなカニでも獲れる！」をウリ文句にしている玉鋼製の大型カニカゴ。重いので扱いは慎重に。,「어떤 게라도 잡는다！」를 선전문구로 걸고있는 옥강제 대형 통발. 무겁기 때문에 조심히 다루자
夢閉錠,꿈을 가두는 자물쇠
夢の回廊で夢の扉を閉じている鍵。人々の夢を閉じ込めている。,꿈의 회랑에서 꿈의 문을 막고 있는 자물쇠. 사람들의 꿈을 가두고 있다
夢見のメダリオン,꿈의 메달리온
リペイント・ザ・メモリーで入手できる交換素材。集めることで様々な報酬と交換できる。,리페인트 더 메모리에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
夢の欠片,꿈의 파편
人々の夢の結晶。記憶や思い出が詰まっている。,사람들의 꿈의 결정체. 기억과 추억이 담겨있다
壊獣コントローラー,괴수 컨트롤러
どこかで見たことのあるコントローラー。以前の物に改良が加えられている。,어디서 많이 본 컨트롤러. 전보다 더 개조되었다
抗斥力フィールド発生装置,항척력 필드 발생장치
対壊獣戦における必須回路。破損しているロボミ量産型から回収した。,괴수와 싸우는데 쓰이는 필수회로. 파손된 양산형 로보미에게서 회수했다
正義のメダリオン,정의의 메달리온
ロボミ外伝で入手できる交換素材。集めることで様々な報酬と交換できる。,로보미 외전에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
氷晶宮のメダリオン,빙정궁의 메달리온
氷晶宮でミックスパイをで入手できる交換素材。集めることで様々な報酬と交換できる。,빙정궁에서 믹스파이를에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
烈火の息吹,열화의 숨결
踊るように燃え盛るスヴァルの息,춤추듯 타오르는 스발의 숨결
ウェールズ記章,웨일스 배지
ウェールズの者が身につけるブローチ,웨일스 사람들이 달고있는 브로치
エルトベーレ・クォーツ,에어드베레 쿼츠
透き通るような外観から、誠実さの象徴とされる赤い宝石,맑고 투명한 외형 으로인해 성실함을 상징하게된 붉은 보석
走艇のメダリオン,경주정의 메달리온
プラチナ・スカイで入手できる交換素材。集めることで様々な報酬と交換できる。,플라티나 스카이에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
整備士のスパナ,정비사의 스패너
走艇の整備には欠かせない工具,경주정 정비에 필수인 공구
BTJエンジン,BTJ엔진
噴流の反作用を利用し凄まじい推進力を得る、走艇用のエンジン,분류의 반작용을 이용하여 엄청난 추진력을 내는 경주정용 엔진
閃雷のメダリオン,섬뢰의 메달리온
神立、笠雲の合間に閃きてで入手できる交換素材。集めることで様々な報酬と交換できる。,"뇌명, 삿갓구름 사이에서 번쩍이고에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다"
閃雷の暗雲,섬뢰의 먹구름
激しい電流を纏った雲の塊,격렬한 전류가 감도는 구름
レヴィオンブラックオパール,레비온 블랙 오팔
レヴィオン王国の空に浮かぶ雲海をそのまま閉じ込めたような不思議な宝石,레비온 왕국의 하늘에 떠 있는 운해를 집어넣은것 같은 신기한 보석
高潔のレッドクリスタル,고결의 레드 크리스탈
離散と自己集合を繰り返す、組成不明の赤色の晶石,이산과 자기집합을 반복하는 정체불명의 붉은빛 정석
支配のパープルクリスタル,지배의 퍼플 크리스탈
離散と自己集合を繰り返す、組成不明の紫色の晶石,이산과 자기집합을 반복하는 정체불명의 보라빛 정석
錬金術師のメダリオン,연금술사의 메달리온
アストレイ・アルケミストで入手できる交換素材。集めることで様々な報酬と交換できる。,아스트레이・알케미스트에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
ヘルメスの錬金術書,헤르메스의 연금술서
ヘルメス錬金学会の錬金術師に支給される教科書,헤르메스 연금학회의 연금술사에게 지급되는 교과서
お子様ランチのメダリオン,어린이 런치의 메달리온
お子様ランチ de OH MY リュミエ～ル♪で入手できる交換素材。集めることで様々な報酬と交換できる。,어린이 런치 ro OH MY 류미～엘♪에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
大人様ランチ用の旗,어른이 런치용 깃발
大人様ランチには旗が欠かせないのであります！,어른이 런치에는 깃발이 필수지 말입니다！
友情のメダリオン,우정의 메달리온
俺達のレンジャーサイン！で入手できる交換素材。集めることで様々な報酬と交換できる。,우리들의 레인저 사인！에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
木の棒,나뭇가지
一見ただの木の枝だが、握ると不思議と勇気が溢れてくる棒,언뜻 보기엔 평범한 나뭇가지지만 잡고있으면 신기하게도 용기가 넘쳐흐르는 막대기
思い出の石版,추억의 석판
ウェルダーがジェイドにレンジャーサインを教えるために使った石版,웰더가 제이드에게 레인저 사인을 가르치기 위해 사용한 석판
密漁のメダリオン,밀어의 메달리온
ポーチャーズ・デイで入手できる交換素材。集めることで様々な報酬と交換できる。,포쳐즈 데이에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
ベンディクブルークラブ,벤디크 블루 크랩
ベンディク島に生息している美しいカニ。,벤디크 섬에 서식하는 아름다운 게
香油,향유
海中の生物に気配を悟られずに近づくために身につける香油。,바다생물에게 기척을 숨기고 다가가기 위해서 몸에 바르는 향유
モノリスの断片,모노리스 조각
魔法の力を安定・増幅させるための魔法石の断片,마법의 힘을 안정・증폭시키기 위한 마법석 조각
禁忌の魔導書,금기의 마도서
マナリア魔法学院に収蔵されている禁忌の闇魔法が記された魔導書,마나리아 마법학원에 보관되어 있는 금기의 암흑마법이 기록되어 있는 마도서
フラワークッキー,플라워 쿠키
シャローム島の花の蜜が隠し味の花柄クッキー,샬롬 섬에서 피는 꽃의 꿀을 첨가한 꽃모양 쿠키
シャローム・ポレン,샬롬・폴렌
星晶獣シャロームの魔力で咲いた花の花粉,성정수 샬롬의 마력으로 핀 꽃의 꽃가루
騎士道のメダリオン,기사도의 메달리온
ふたりの騎士道で入手できる交換素材。集めることで様々な報酬と交換できる。,두 사람의 기사도에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
シヴァルリィ・ライト,시벌리 라이트
忠義を尽くす者を照らす栄光の輝き。,충성을 다하는 자를 비추는 영광의 빛
研ぎ澄まされた狼爪,잘 갈린 늑대발톱
森に巣食う魔物を束ねる大狼から剥がれ落ちた爪,숲의 마물들을 통솔하는 늑대에게서 빠진 발톱
紅闇のメダリオン,붉은 어둠의 메달리온
Right Behind Youで入手できる交換素材。集めることで様々な報酬と交換できる。,Right Behind You에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
古代遺跡の遺物,고대 유적의 유물
古に存在せし遺物の欠片,고대에 존재한 유물의 파편
煩悩のメダリオン,번뇌의 메달리온
年年歳歳煩相似たりで入手できる交換素材。集めることで様々な報酬と交換できる。,연년세세 번뇌는 변치않는다에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
彷徨う煩悩,떠도는 번뇌
暴走したジョヤが世界に撒き散らした強大な煩悩,폭주한 조야가 세계에 흩뿌린 엄청난 번뇌
チョコレートの材料,초콜릿 재료
カカオや砂糖など、甘いチョコレートを作るための材料。,카카오나 설탕 등 달콤한 초콜릿을 만들기 위한 재료.
破損したコア,파손된 코어
破損したエンジェル・コア。神聖な力をあまり感じられない。,파손된 엔젤 코어. 신성한 힘이 그다지 느껴지지 않는다
オブセニティ・ライト,오브세니티 라이트
造反と悦楽が混濁する背徳の輝き。,반란과 열락이 혼탁해지는 배덕의 빛
壊獣細胞,괴수세포
壊獣から採取された体組織の一部。,괴수에게서 채취한 신체 조직의 일부
SGFパンフレット,SGF 팜플렛
アルビオンで開催される格闘大会「スカイグランデ・ファイト」のパンフレット。,알비온에서 개최되는 격투대회 '스카이 그랑데 파이트'의 팜플렛
マスキュラリティ・ライト,머스큘레리티 라이트
力と力がぶつかり合う強靭の輝き。,힘과 힘이 충돌할 때 발생하는 강렬한 빛
ハンサム・ゴリラTA,핸섬 고릴라TA
気力回復、疲労退散、野性爆発──<br>今がその時だ。一気に挑め！,"기력회복, 피로퇴치, 야성폭발<br>지금이 기회다. 단번에 정복하자！"
伴奏のメダリオン,반주의 메달리온
プレガンド・コーラスで入手できる交換素材。集めることで様々な報酬と交換できる。,프레간드 코러스에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
使い古された筆,낡은 붓
絵画の作成に使われている、使い古された一般的な筆。,그림을 그릴때 사용하는 오래된 일반적인 붓
雷夏のメダリオン,뢰하의 메달리온
ビリビリ☆エレクトリカルサマーで入手できる交換素材。集めることで様々な報酬と交換できる。,찌릿찌릿☆일렉트리컬 썸머에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
小魚,작은 물고기
アウギュステの川に生息する小さな魚であり、デンキンナギの好物。観賞用として人々に飼育されることもある。,아우규스테의 강에 사는 작은 물고기이며 전기장어가 좋아하는 생선이다. 관상어로 사육되기도 한다
千年のメダリオン,천년의 메달리온
ごめんなさいとありがとうで入手できる交換素材。集めることで様々な報酬と交換できる。,"미안해, 그리고 고마워에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다"
フートン焼き,두부오뎅구이
こんがり揚げた豆の練り物と新鮮な野菜を、特製のたれで串焼きにしたアキノの名物。,노릇노릇하게 튀긴 콩 반죽과 신선한 야채를 특제양념에 버무린 아키노의 명물
裏ボタン,단추 뒷면
制服のボタン裏側につけるシンボルや文字が装飾されたもの。龍の彫り物などが施されたものが高価とされた。,교복의 단추 뒷면에 새기는 상징이나 문자가 장식된 것. 용의 형상이 새겨져 있는게 고가로 여겨졌다
スファレライト,스패러라이트
多数の金属を含んで結晶化した鉱石で、鉄の含有量によって様々な色合いを見せる。精製することで多数の合金素材を入手できる。,다수의 금속을 포함해 결정화된 광석으로 철 함유량에 따라 다양한 색조를 보인다. 정제하면 다수의 합금 소재를 얻을 수 있다
クロトーネラッヘ,클로토네라헤
斑の入り方が様々で珍妙な匂いを漂わせる草本植物。暑さに強く丈夫な一方、寒さに弱い。,무늬가 다양하고 기묘한 냄새를 풍기는 초본식물. 더위에 강하고 튼튼한 반면 추위에 약하다
妖しき刀鍔,기묘한 코등이
振るう者の心身を侵食するという呪われた武器の刀鍔。,사용자의 몸과 마음을 침식한다는 저주받은 무기의 코등이
月の研究資料,달 연구자료
月の民や機神に関する研究資料。<br>多くの情報がアランドゥーズによって記されている。,달의 민족과 기계신에 관한 연구자료.<br>아란두즈가 많은 정보를 기록해두었다
マタタタブの枝,마타타타비의 가지
鼻につく独特な臭いを漂わせる茶褐色の落葉蔓性木本。猫が匂いを嗅ぐと酒に酔ったような状態になってしまう。,독특한 냄새를 풍기는 다갈색 갈잎 덩굴성 목본식물.<br>고양이가 냄새를 맡으면 술에 취한 것 같은 상태가 된다
虚無の欠片,허무의 조각
アバターに取り込まれた堕天司を強制的に受肉させた力の源。自我のない状態で顕現しており、破壊衝動を呼び起こすものになっている。,아바타에게 흡수된 타천사를 강제로 강생시킨 힘의 근원.<br>자아가 없는 상태에서 현현했기에 파괴 충동을 일으키고 있다
思い出の豆菓子,추억의 콩과자
ガキの頃、ジモでガン食いした思い出の味ってヤツ？<br>素朴な味がマジッベエんだわ。<br>とりま１個パクついてみ？,어렸을 적에 정신없이 먹은 추억의 맛이라고나할까？<br>소박하지만 지리는 맛이지 일단 하나 먹어볼까？
岩の楔,바위 쐐기
岩の魔物から採ることができる天然の楔。非常に硬く採掘の際に重宝する。,바위 마물에게서 채취할 수 있는 가공되지 않은 쐐기.<br>엄청나게 단단하기 때문에 채굴할 때 편리하다
トニックフラワー,토닉 플라워
日当たりの良い岩肌にのみ自生するハーブ。<br>滋養強壮に効くことから島の特産品として扱われる。,햇볕이 잘 드는 바위 표면에만 자생하는 허브.<br>자양강장에 효과적이어서 섬의 특산품으로 취급된다
サーフボードの欠片,서핑보드 파편
サメによって噛み千切られたサーフボードの残骸。<br>その無残な姿は、人々を恐怖に陥れる──,상어에 의해 잘게 찢겨진 서핑보드의 잔해.<br>그 무참한 모습은 사람들을 공포에 떨게한다.
瑞々しいキュウリ,싱싱한 오이
水神の遣いであるカワロウの好物であるキュウリ。<br>伝統行事「キュウリ奉納の儀」にて、カワロウに捧げることで大漁を祈願する。,"수신의 대리자인 카와로우가 좋아하는 오이.<br>전통행사인 ""오이봉납의식""에서 카와로우에게 바치는 것으로 풍어를 기원한다"
名もなき愛の詩,이름 없는 사랑의 시
いつの時代も、人は恋し、愛し、誰かを想う。<br>これは、いつかどこかに誰かを想う人がいた証である。,"어느 시대라도 사람은 사랑하는 누군가를 생각한다""<br>이것은 언제 어딘가에서 누군가를 생각하는 사람이 있었다는 증거다"
竜鱗の破片,용린 파편
竜種が持つ堅牢な鱗。その剛性から、<br>主に人間の防具の素材として重宝されている。<br>色鮮やかなものや状態の良いものは<br>装飾品やコレクションとしても人気があり、<br>様々な市場で高額で取引されている。,"용종이 지닌 견고한 비늘. 그 단단한 성질 때문에 주로 인간의 방어구의 소재로 애용되고 있다. 알록달록한 색상과 상태가 좋은 물건은 장식품이나 수집품으로도 인기있으며, 다양한 시장에서 고액으로 거래되고 있다"
こんがりお揚げの炊いたん,노릇노릇한 유부조림
フワフワのお座布団のように柔らかく煮た油揚げ。<br>野菜の出汁でしっかり煮るのがおいしさのコツ。,푹신푹신한 방석처럼 부드럽게 익힌 유부.<br>채소 육수에 푹 삶는 것이 맛의 요령
AMEクリスタル,AME 크리스탈
BTJエンジンを稼働させるためのエネルギー源。<br>人工の結晶に燃料となる魔力が込められている。<br>蓄積した魔力が多いほど重量が増える特性があり、<br>スピードを追求するためには必要最低限の量を見極めるスキルが必須となる。,"BTJ 엔진을 가동시키기 위한 에너지원.<br>인공결정에 연료가 되는 마력이 담겨 있다.<br>축적한 마력이 많을수록 중량이 늘어나는 특성이 있으며,<br>속도를 높이기 위해서는 필요한 최소한의 양을 판별하는 기술이 필수적이다"
木製の麺棒,나무밀대
ジョイが大切にしている麺棒。<br>少し撞木に似ている気がする。,조이가 아끼는 국수밀대. 왠지 당목같이 생겼다.
ジャンクパーツ,정크파츠
壊れて使えなくなった、何かの機械の部品。加工すれば別の素材に転用できることもある。,고장나서 사용할 수 없게 된 어떤 기계의 부품. 가공하면 다른 곳에 사용할 수 있을 것 같다
想像力と玩具箱,상상력과 장난감 상자
星屑の街に住む子供たちに親しまれている玩具。<br>物や娯楽が少なくとも、子供たちはたくましい想像力と豊かな感性で楽しみを生み出していく。,별들의 거리에 사는 어린이들에게 친숙한 장난감. 물건이나 오락거리가 적어도 아이들은 왕성한 상상력과 풍부한 감성으로 즐거움을 만들어 간다
香油のアロマボトル,아로마 병
依頼の荷に積まれていた香油の入った瓶。<br>人間の嗅覚では感じ取れないが、瘴流域の<br>魔物を引き寄せる香りが洩れているらしい。,"의뢰한 짐에 실려있던 향유가 든 병. 인간의 후각으로는 느낄 수 없지만, 독한 기류가 흐르는 유역의 마물을 끌어당기는 향기가 새어나오는 것 같다"
調査報告書,조사보고서
偵察兵の情報をまとめた報告書。<br>ザハ市奪還に向け、情報は最大の武器となる。,정찰병의 정보를 정리한 보고서.<br>자하시 탈환을 위한 정보는 최대의 무기가 된다
妖しい臓肉,기괴한 내장
魔物から切り落とされた、不気味な艶めきと匂いを放つ肉の塊,마물에게서 잘라낸 섬뜩한 윤기와 냄새를 풍기는 고깃덩어리
グラッジチャンク,원한의 조각
討伐された魔物の怨嗟が宿る、鮮赤の肉片,토벌된 마물의 원한이 깃들어 있는<br>선홍빛 고기 조각
妖しい黒片,기묘한 검은조각
チョコの魔物が戦場に散った際に落ちた、チョコの欠片,초콜릿 마물이 전장에서 스러졌을 때 떨어진 초콜릿 조각
ソリッドチョコレート,솔리드 초콜릿
チョコの魔物たちの怨念、憎悪が凝縮されて出来た、ほろ苦い板チョコ,초콜릿 마물들의 원한. 증오가 응축되어 만들어진 씁쓸한 판초코
異次元の闇,이차원의 어둠
理が異なる世界から持ち込まれた漆黒の影,다른 이질적인 세계에서 흘러들어온 칠흑의 그림자
ビィボール,비이 볼
オイラはトレジャーじゃねぇ！ ただのボールだ。使い道？ そんなモンねぇよ……なんつったって、ただのボールだからな。,이몸은 트레저가 아냐！ 그냥 공이야. 어디에 쓰냐고？  그런거 없어…… 평범한 공이니까 말이지
桃色のメダリオン,연분홍빛 메달리온
PINYA HAZARDで入手できる交換素材。集めることで様々な報酬と交換できる。,PINYA HAZARD에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
おはぎ,오하기
甘い豆で作られたおはぎ,달콤한 콩으로 만든 떡
キタミ草,키타미 풀
かすかに柑橘系の香りがただよう薬草。<br>どういうわけか、謎の生物はこの薬草の匂いが大の苦手のようだ。,"은은하게 감귤향기가 감도는 약초.<br>어째선지, 수수께끼의 생물은 이 약초의 향기를 질색한다"
同胞との魂の共鳴,동포와의 영혼의 공명
蒼黒の衣に身を包んで……我らが歌う、蒼き歌のために……！,창흑빛 옷을 입고……우리가 부르는 푸른 노래를 위하여……！
時象の巻鍵,시상의 태엽 열쇠
どの世界のどの時代に存在していたのか定かではない巻鍵,어느 세계의 어느 시대에 존재했었는지 확실치 않은 태엽 열쇠
悠久のクロノグラフ,유구한 크로노그래프
その者に悠久の時が訪れると謂われているが、その複雑にして深奥な構造を解明できた者が果たして存在するのか、証明する術はない,"그에게 유구한 때가 온다고 말했지만, 그 복잡하고도 심오한 구조를 해명할 수 있는 사람이 존재하는지 증명할 방법은 없다"
暗雲の残滓,먹구름의 잔재
フラクテラが纏っていた暗き雲のような残滓,프락테라가 휘감고 있던 어두운 구름같이 생긴 잔재
蜃楼の紋章,신기루 문장
フラクテラの両手に浮かんでいた不可思議な紋章,프락테라의 양손에 떠 있던 불가사의한 문장
